title,subject
Frog and Toad Together,"amistad,animals,best friends,children's fiction,children's short stories in english,children's stories,classics,cookies,courage,dragons,easy books,emotions & feelings,ficción juvenil,fiction,friendship,frogs,frogs & toads,frogs, fiction,gardens,giants,humor & funny stories,juvenile audience,juvenile fiction,juvenile works,kindness,loyalty,newbery honor,sharing & cooperating,ouvrages pour la jeunesse,pictorial works,picture books,primary school,ranas,readers,sapos,sharing,short stories,social themes,Spanish language,toads,Children's fiction,Frogs, fiction,Picture books,Accessible book,Protected DAISY"
Frog and Toad All Year,"accelerated reader,amistad,animals,children's fiction,children's stories,classics,comedy & humor,estaciones del año,ficción juvenil,fiction,friendship,frogs,frogs & toads,juvenile audience,juvenile fiction,juvenile works,novela juvenil,ranas,sapos,seasons,social themes,Spanish language materials,toads,Children's fiction,Frog and toad (fictitious characters), fiction,Frogs, fiction,Picture books,Accessible book,Protected DAISY"
Goodnight Moon,"Rabbits,Picture books,Stories in rhyme,Juvenile fiction,Moon in fiction,Board books,Hora de acostarse,Fiction,Bedtime in fiction,Rabbits in fiction,Ficción juvenil,Sleep,Bedtime,Night,Libros de láminas,Picture books for children,Spanish language materials,Specimens,Bilingual,Hmong language materials,Conejos,Bedtime & Dreams,Words,Concepts,Classics,JUVENILE FICTION,Children's fiction,Rabbits, fiction,Bedtime, fiction,Moon, fiction,Night, fiction,Counting books,Accessible book,Protected DAISY"
Stellaluna,"owls,Juvenile Fiction,Aves,Bats,Birds,Ficción juvenil,Fiction,Juvenile software,Murciélagos,Software,Specimens,Toy and movable books,Picture books,Friendship,Board books,Spanish: Kindergarten,Short Stories,Children's 4-8 - Picturebooks,Children's Books/Ages 4-8 Fiction,Spanish: Grades 2-3,Spanish: Grades 1-2,Animals - Mammals,Animals - Birds,Children's fiction,Bats, fiction,Birds, fiction,Friendship, fiction,Juvenile literature,Action & Adventure,Animals,Baby Animals,Family,Adoption,Accessible book,Protected DAISY"
Room on the Broom,"Animals,Juvenile fiction,Dragons,Stories in rhyme,Animals in fiction,Dragons in fiction,Witches,Fiction,Witches in fiction,Children's fiction,Witches, fiction,Animals, fiction,Dragons, fiction,Sound, fiction,Board books,Halloween, fiction,Toy and movable books,Picture books,Child and youth fiction,Fantasy & Magic,Holidays & Celebrations,Halloween,Humorous Stories,Student activities,Creative activities and seat work,Accessible book,Protected DAISY"
Dear zoo,"Zoo animals in fiction,Bilingual,Toy and movable books,Pets in fiction,Juvenile fiction,Zoo animals,Board books,Lift-the-flap books,Fiction,Chinese language materials,Pets,Specimens,Juvenile literature,Animals,Children's fiction,Zoo animals, fiction,Pets, fiction,Social conditions,Economic conditions,History,Picture books,JUVENILE FICTION / Animals / Zoos,Pictorial works,Revenge,Terrorism,Urdu language materials,Accessible book,Protected DAISY"
Rotkäppchen,"Tales,Fairy tales,Juvenile literature,Folklore,Little Red Riding Hood (Tale),Pictorial works,Germany,Fairy Tales & Folklore - Single Title,Children's Books/Ages 4-8 Fiction,Children: Grades 2-3,Non-Classifiable,Children's 4-8,Juvenile Fiction,Juvenile fiction,Children's fiction,Picture books,Accessible book,Protected DAISY"
Now we are six,"Children's poetry, English,English poetry,Poetry,Children's poetry,Juvenile fiction,Children's stories, English,Fiction,Juvenile literature,Picture books,Accessible book"
Green Eggs and Ham,"1960-1988,Dr. Seuss,Beginner Books,I Can Read It All By Myself,Green Eggs and Ham,Audio-Cassette included,First time readers,English,2-3 years,Pre-school,Children's,Stories,Books,In rhymes,Rhyming,Fiction,Juvenile Fiction,Picture books,Food,Eggs,Ham,Food habits,Open Library Staff Picks,Nonsense verses,Specimens,Children's fiction,Humorous stories,Stories in rhyme,Food, fiction,Large type books,Latin language,Readers,Latin language materials,Food preferences,Children's stories,Juvenile poetry,Vocabulary,Classics,Reader,Beginner,PICTURE LIONS,Jig Story,4,Jigsaw,Puzzles,20,Activities,Chamber music,Accessible book,Protected DAISY"
Stone soup,"Folklore,Soups,Spanish language,Picture books,Vocabulary,Readers,Juvenile fiction,Fiction,Novela juvenil,Juvenile literature,History,Children's fiction,Folklore, france,Soldiers, fiction,soup,neighbors,Caldecott Honor,Accessible book,Protected DAISY"
The selfish giant,"Giants,Picture books,Juvenile fiction,Fiction,Fairy tales,Gardens, fiction,Giants, fiction,Children's fiction,Selfishness,Accessible book,Protected DAISY"
Madeline's rescue,"Children's stories, American,Dogs,Fiction,Juvenile fiction,Picture books for children,Rescues,Stories in rhyme,Paris (France),Caldecott medal book,Madeline (Fictitious character),Students,Girls,Animal welfare,Caldecott Medal,Children's stories,Schools,Orphans,Picture books,Children's fiction,Madeline (fictitious character), fiction,Paris (france), fiction,France, fiction,Orphans, fiction,Dogs, fiction,Audiobooks,Children's audiobooks,Conduct of life,Children,collectionID:caldecott50,Accessible book,Protected DAISY"
Peter's Chair,"Brothers,Brothers and sisters,Family,Hmong language materials,Chairs,Juvenile fiction,Children's stories,Fiction,Chinese language materials,Babies,African Americans,Spanish language materials,Bilingual,Picture books,Hermanos,Ficción juvenil,Niños lactantes,Infants,Children's fiction,Chairs, fiction,Infants, fiction,Brothers and sisters, fiction,African americans, fiction,Infantes lactantes,Novela juvenil,Novela,Boys, fiction,Accessible book,Protected DAISY"
The Gruffalo's Child,"Fiction,Stories in rhyme,Mice,Animals,Curiosity,Juvenile fiction,Children's stories,Monsters,Pictorial works,Moed,Children's picture book,Children's fiction,Mice, fiction,Animals, fiction,Toy and movable books,Picture books,Child and youth fiction,Board books,Ipuinak-,Cuentos-,Miedo-,Haur eta gazteentzako liburuak,Libros infantiles,Beldurra-,Ficción juvenil,Ratones,Curiocidad,Jigsaw puzzles,Specimens,Literatura infanto-juvenil,Literatura inglesa,Accessible book,Protected DAISY"
A Bell for Ursli,"Translations of Rhaeto-Romance/Romansh texts,Poetry,Picture books,Children,Switzerland, fiction,Stories in rhyme,Children's fiction,Adventure and adventurers, fiction,Accessible book,Protected DAISY"
The Carrot Seed,"Gardening,Fiction,Vegetable gardening,Juvenile fiction,Carrots,Ficción juvenil,Stories,Seeds,Gardens,Jardinería,Children's fiction,Plants, fiction,Gardening, fiction,Picture books,Accessible book,Protected DAISY"
Whistle for Willy,"African Americans,Dogs,Whistling,Fiction,Juvenile fiction,Children's stories,Children's fiction,Dogs, fiction,African americans, fiction,Perros,Silbido,Spanish language materials,Ficción juvenil,Afronorteamericanos,Picture books,Whistling in fiction,Dogs in fiction,African Americans in fiction,Accessible book,Protected DAISY"
Mouse Tales,"bedtime,beginning readers,children's fiction,children's stories,cuentos,ficción juvenil,fiction,high interest-low vocabulary books,juvenile audience,juvenile fiction,juvenile works,mice,picture books,ratones,readers,short stories,Spanish language materials,Mice, fiction,Children's fiction,Animals, fiction,Accessible book,Protected DAISY"
The Snail and the Whale,"Fiction,Stories in rhyme,Whales,Snails in fiction,Snails,Whales in fiction,Juvenile fiction,Snails, fiction,Whales, fiction,Children's fiction,Picture books,Scottish Gaelic language,Readers,Accessible book,Protected DAISY"
The mixed-up chameleon,"Toy and movable books,Juvenile fiction,Zoo animals,Ficción juvenil,Fiction,Chameleons,Readers (Primary),Camaleones,Animales zoológicos,Zoos,Self-acceptance,Specimens,Aprobación de sí mismo,Parques zoológicos,picture books,art,children's fiction,Juvenile literature,Children's fiction,Lizards, fiction,Children's stories,Accessible book,Protected DAISY"
In the Night Kitchen,"Fantasy,Picture books for children,Picture books,Children's stories,Fantasy fiction,Juvenile fiction,Baking,Fiction,Pictures,Cake,Milk,Dreams,Children's fiction,Cooking, fiction,Night, fiction,Spanish language,Tortas,Novela juvenil,Leche,Hornería,Sueños,Accessible book,Protected DAISY"
A squash and a squeeze,"Fiction,Stories in rhyme,Humorous stories,Dwellings,Domestic animals,Juvenile fiction,Children's poetry,Children's fiction,Houses, fiction,Domestic animals, fiction,Older women,Farm life,Mens-dier-relatie,Crowding stress,Picture books,Toy and movable books,Accessible book,Protected DAISY"
Splash and Bubbles,"Children's fiction,Fishes, fiction,Marine animals, fiction,Picture books,Individuality, fiction,Octopuses, fiction,Sharks, fiction,Color, fiction"
Blueberries for Sal,"Bears,Berries,Blueberries,Fiction,Juvenile fiction,Mothers,Picture books,Picture books for children,Juvenle fiction,Parent and child,Children,Conduct of life,Family,Accelerated Reader 3.8.,Parents,Mothers and daughters,Animals,Classics,JUVENILE FICTION,Bears, fiction,Mother and child, fiction,Maine, fiction,Children's fiction,Bears -- Juvenile fiction,Humorous stories,Children's audiobooks,Audiobooks,Madre e hijo,Ficción juvenil,Osos,Mother and child,Spanish language materials,Accessible book,Protected DAISY"
Tikki Tikki Tembo,"Folklore,picture book for children,children's stories,Neighbors,Mothers and sons,Brothers,Juvenile fiction,Wells,Ladders,Middle-born children,First-born children,Chinese Names,Rescues,Personal Names,Legends,Folklore, china,Picture books,Picture books for children,Folklore, juvenile literature,Chinese,Fiction,Children's fiction,Humorous stories,Mothers and sons, fiction,Accessible book,Protected DAISY"
Chicken Soup with Rice,"Jewish Cooking,Rice,Humorous poetry,Juvenile poetry,Stories in rhyme,Soups,Juvenile fiction,Months,Chicken soup,Children's literature,Grandmothers,Poetry,Boys,Seasons,Fiction,Picture books,UP Elementary,Reading List,Hockaday,Before kindergarten,Entering 2nd grade,Children's poetry,American poetry,Months, poetry,Nonsense verses,Alligators,Counting,Conduct of life,Alphabet books,Specimens,Alphabet,Apathy,Meses,Ficción juvenil,Children's fiction,Toy and movable books,Accessible book,Protected DAISY"
The snowman,"Picture books,Stories without words,Juvenile fiction,Fiction,Snowmen,Dreams,Cartoons and comics,Toy and movable books,Readers,Miniature books,Specimens,Problems, exercises,Vocabulary,Juvenile literature,Study and teaching,Picture books for children,English language,Study and teaching (Primary),Welsh language,JUVENILE FICTION,Comics & Graphic Novels,Bedtime & Dreams,Social Themes,Cartoons and caricatures,General,Friendship,Children's fiction,Fantasy fiction,Caricatures and cartoons,Comic books, strips,Accessible book,Protected DAISY"
Fox in Socks,"Open Library Staff Picks,Juvenile fiction,Foxes,Fiction,Stories in rhyme,Nonsense verses,Juvenile literature,Fantasy,Tongue twisters,Beginner,Concepts,Littérature pour la jeunesse anglaise,Reader,Animals,Sounds,*2015 50th Anniversary,*1965 Orig. Public.,*1993 Copyright renewal,*Christianbook.com,*Age 3-7,Preschool to gr.2,* Suitable for all ages,Dr. Seuss,Fox in Socks,Beginner Books,I Can Read It All By Myself,Kids,Children,Children's,Juvenile,Books,Stories,Literature,Tongue twister,Rhymes,Book in rhymes,1986,Fox in Sox,Read-Along,Sound,Recordings,Cassette,Rhyme,Board books,Children's fiction,Humorous stories,Juvenile poetry,Character books,Picture books,Children: Kindergarten,JUVENILE FICTION,Children's stories,Foxes, fiction,Fantasy fiction,Accessible book,Protected DAISY"
Frederick,"Children's stories,Fairy tales,Juvenile fiction,Mice,Mice in fiction,Imagination,Sharing,Families,Winter,Fiction,Accelerated Reader 3.5.,Children's fiction,Picture books,Fiction, general,Accessible book,Protected DAISY"
Good Night Gorilla,"Fiction,Zoos,Zoo animals,Juvenile fiction,Gorilla,Ficción juvenil,Animales zoológicos,Parques zoológicos,Board books,Picture books,Zoo keepers,Bedtime stories,Animals,Spanish language materials,Spanish: Grades 2-3,Animales zoologicos,Gorilas,Animales del zoologico,Novela juvenil,Zoologicos,Children's fiction,Zoo animals, fiction,Zoos, fiction,Children's Books/Baby-Preschool,Child and youth fiction,Hora de acostarse,Bedtime,Animals, fiction,Accessible book,Protected DAISY"
"Julius, the Baby of the World","Brothers and sisters,Juvenile fiction,Fiction,Babies,Infants,Mice,Children's Books/Ages 4-8 Fiction,Spanish: Grades 1-2,Interactive Adventure,Picture books,Hermanos,Niños lactantes,Spanish language materials,Infantes lactantes,Spanish language,Novela,Hermanos y hermanas,Ratones,JUVENILE FICTION,Family,New Baby,Siblings,Accelerated Reader,Children's fiction,Mice, fiction,Brothers and sisters, fiction,Infants, fiction,Accessible book,Protected DAISY"
Around the World in 80 Days,"Children's fiction,Adventure and adventurers, fiction,Continental european fiction (fictional works by one author),Voyages and travels, fiction,Fiction, action & adventure,Fiction, science fiction, general,Child and youth fiction,Picture books,Comics & graphic novels, general,Juvenile fiction,Fiction,Voyages around the world,Adventure and adventurers,Comic books, strips,Wagers,Cartoons and comics,Romance literature,Accessible book,Protected DAISY"
Pierre,"Juvenile fiction,Conduct of life,Lions,Stories in rhyme,Emotions,Fiction,Children's fiction,Behavior, fiction,Wit and humor,Picture books,Lion,Ficción juvenil,Leones,Apathy,Spanish language materials,Toy and movable books,Lion, fiction,Accessible book,Protected DAISY"
At the Waterworks,"Hydrology,Waterworks,Juvenile literature,Biodegradation,Spanish language materials,Biodegradación,Literatura juvenil,Water treatment plants,Picture books,Science,School field trips,Water-supply,Women science teachers,Juvenile fiction,Study and teaching,Hidrología,Purificación,Agua,Purification,Water,Water supply,Abastecimiento,Water-supply, juvenile literature,French language,Readers (Primary),Lectures et morceaux choisis (Enseignement primaire),Accessible book,Protected DAISY"
Fables,"American Fables,Animales,Animals,Children's stories, American,Cuentos infantiles estadounidenses,Fables,Fables, American,Ficción juvenil,Fiction,Fábulas estadounidenses,Readers,Spanish language,Caldecott Medal,Juvenile fiction,Picture books,Virtues,Fables amřicaines,Conduct of life,Romans, nouvelles, etc. pour la jeunesse,Animaux,Picture book,1981,Histoires pour enfants amřicaines,Caldecott Medal books,Vices,Children's fiction,Folklore, united states,Animals, fiction,collectionID:caldecott80,Accessible book,Protected DAISY"
"Lyle, Lyle, Crocodile","Crocodiles,Fiction,Zoos,Children's fiction,Crocodiles, fiction,Picture books,Juvenile works,Juvenile fiction,EASY BOOKS,Lyle the crocodile (fictitious character), fiction,Accessible book,Protected DAISY"
Rosie's walk,"Chickens,Chinese language materials,Fiction,Foxes,Juvenile fiction,Picture books,Spanish language materials,Hunting,Escapes,Domestic animals,Juvenile Wit and humor,Hunting accidents,Board books,Race relations,Foxes, fiction,Chickens, fiction,Children's fiction,Accessible book,Protected DAISY"
"1, 2, 3 to the zoo","Counting,Zoo animals,Juvenile literature,Pictorial works,Picture books,Fiction,Juvenile fiction,Children: Kindergarten,Zoos, juvenile literature,Zoos,Counting books,Counting, juvenile literature,Animals, fiction,Children's fiction,Zoo animals, fiction,Numeration,Zoo aninals,Zoo animals, juvenile literature,Accessible book,Protected DAISY"
The smartest giant in town,"Giants,Juvenile fiction,Pictorial works,Fiction,Kindness,Clothing and dress,Children's fiction,Giants, fiction,Picture books,Stories in rhyme,Bilderbuch,Dank,Freigebigkeit,Hilfsbereitschaft,Kleidung,Riese,Tiere,Accessible book,Protected DAISY"
Growing Vegetable Soup,"Vegetable gardening,Gardening,Soups,Juvenile fiction,Ficción juvenil,Fiction,Huertos,Sopas,Juvenile literature,Spanish language materials,Children's books,Spanish language,Novela,Materiales en espanol,Children's fiction,Gardening, fiction,Vegetable gardening, fiction,Picture books,Spanish language, readers,Spanish language, juvenile literature,Food, fiction,JUVENILE FICTION,Cooking & Food,Nature & the Natural World,JUVENILE NONFICTION,Accelerated Reader,Hortalizas,Bilingual,Cooking,Accessible book,Protected DAISY"
Ira Sleeps Over,"Juvenile fiction,Fiction,Friendship,Teddy bears,Dependency in children,Family,Amistad,Ficción juvenil,Night,Children, fiction,Toys, fiction,Sleepovers,Children's fiction,Sleep, fiction,Bedtime, fiction,Humorous stories,Families,Picture books,Juvenile literature,Accessible book,Protected DAISY"
Harry the Dirty Dog,"Cleanliness,Juvenile fiction,Dogs,Spanish language materials,Fiction,Hygiene,Children's fiction,Dogs, fiction,Picture books,Accessible book,Protected DAISY"
"Sam, Bangs & Moonshine","Fiction,Imagination,Juvenile fiction,Existentialism,Philosophy,Education,Human-animal relationships,Fathers and daughters,Cats,Caldecott Medal books,Truthfulness and falsehood,Children's fiction,Picture books,Islands, fiction,Caldecott medal,Gerbils,Stories,Caldecott Medal Books, 1967,Imagination, fiction,Reading materials,Spanish language materials,Spanish language,Novela,Imaginacion,collectionID:caldecott60,Accessible book,Protected DAISY"
Madeline and the gypsies,"Children's stories, American,Circus,Fiction,Gypsies,Juvenile fiction,Juvenile poetry,Madeline (Fictitious character),Picture books,Picture books for children,Poetry,Romanies,Stories in rhyme,Nuclear models,Children's fiction,Paris (france), fiction,France, fiction,Orphans, fiction,Romanies, fiction,Madeline (fictitious character), fiction,Adventure stories,Accessible book,Protected DAISY"
The Stray Dog,"Juvenile fiction,Spanish language materials,Dogs,Fiction,Juvenile literature,Children's fiction,Dogs, fiction,Picnicking, fiction,Family, fiction,Picture books,Accessible book,Protected DAISY"
El Monstre De Colors,"Juvenile fiction,Monsters,Emotions,Children's fiction,Monsters, fiction,Emotions, fiction,Pop-up books,Toy and movable books,Emotions, juvenile literature,Monsters, juvenile literature,Color,Color, juvenile literature,Picture books"
Cornelius,"Peces,Vocabulary,Readers,Juvenile fiction,Spanish language,Fiction,Ficción juvenil,Cooperation,Fishes,Spanish language materials,Cuentos italianos,Materiales lectura en idioma espanol,Novela,Children's fiction,Fishes, fiction,Picture books,Accessible book,Protected DAISY"
Harold and the Purple Crayon,"Animals,Children's Books/Baby-Preschool,Fiction,Fantasy,Crayon drawing,Crayons,Spanish language materials,Crayones,Juvenile fiction,Ficción juvenil,Adventure stories,Drawing,Dibujo,Children's fiction,Toy and movable books,Imagination, fiction,Harold (fictitious character : johnson), fiction,Drawing, fiction,Fantasy fiction,Crayon drawing, fiction,picture books,Accessible book,Protected DAISY"
Where's Wally?,"Picture puzzles,Voyages and travels,Humorous stories,Juvenile literature,Fiction,Literary recreations,Picture books,Accessible book,Protected DAISY"
Curious George,"Monkeys,Curious George (Fictitious character),Readers,Spanish language,Fiction,Monos,Spanish language materials,Giraffe,Big books,Bilingual,Juvenile fiction,Novela,Ficción juvenil,Curiosity,Children's fiction,Monkeys, fiction,Picture books,Curious george (fictitious character), fiction,Giraffes, fiction,Stories,Accessible book,Protected DAISY"
Monkey Puzzle,"Jungle animals,Mothers,Juvenile fiction,Miscommunication,Fiction,Stories in rhyme,Lost children,Affen,Picture books for children,Monkeys,Fantasie,Butterflies, fiction,Monkeys, fiction,Children's fiction,Picture books,Mother and child, fiction,Mothers and sons, fiction,Children's stories, English,Animals,Monkeys in fiction,Jungle animals in fiction,Butterflies in fiction,Butterflies,Accessible book,Protected DAISY"
Imogene's Antlers,"Children's fiction,Emotions, fiction,Self-acceptance, fiction,Humorous stories,Children's stories, American,Fiction,Picture books,Social Situations - General,Children: Kindergarten,Children's Books/Ages 4-8 Fiction,Wit and humor,Social Issues - General,Juvenile Fiction / General,Children's 4-8 - Picturebooks,Antlers,Girls,Greenville Schools Accelerated Reader (2.6),Oak Hall Episcopal School Accelerated Reader (3.3),Accessible book,Protected DAISY"
A Tree Is Nice,"Juvenile literature,Trees,JUVENILE NONFICTION,Animals,Ouvrages pour la jeunesse,Arbres,Play,Fiction,Concepts,Natural history,Seasons,Senses & Sensation,Juvenile fiction,Pictorial works,Trees, juvenile literature,Picture books,Picture books for children,Arboles,Literatura juvenil,Trees--Juvenile fiction,collectionID:caldecott50,Accessible book,Protected DAISY"
The Cat in the Hat Comes Back,"Dr. Seuss,Cat in the Hat,Children's,Books,Stories,Fiction,Rhymes,Rhyming,Play,Alphabet,Fantasy,Juvenile fiction,Cat,Hat,Cats,Stories in rhyme,Humorous stories,Picture books,Nonsense verses,Amusements,Pictorial works,Readers,Children's fiction,Cats, fiction,Cat in the hat (fictitious character), fiction,Large type books,Accessible book,Protected DAISY"
